,core,ligands
VIMPUD,Ni,ligand28-0 ligand472-0 ligand26912-0
FUFFET,Pt,ligand191-0 ligand2063-0 ligand2063-0
CEHQEL,Pt,ligand1-0 ligand1-0 ligand36-0 ligand36-0
QIWDOS,Pt,ligand0-0 ligand0-0 ligand774-0 ligand4130-0
KAFZIE,Pd,ligand12-0 ligand2735-0 ligand15615-0
KEPREC,Ru,ligand8948-0 ligand11433-0 ligand11433-0
UMUDAH,Os,ligand0-0 ligand0-0 ligand55-0 ligand55-0 ligand1410-0 ligand1410-0
COHDOT,Pt,ligand0-0 ligand2472-0 ligand21990-0
HEKRIC,Pt,ligand108-0 ligand13858-0 ligand13858-0
FIJWIH,Ag,ligand28-0 ligand618-0 ligand618-0
ATOJUO,Fe,ligand26243-0 ligand26243-0
WAMVUD,Ti,ligand61-0 ligand645-0 ligand11003-0
UCOHEB,Pt,ligand4-0 ligand344-0 ligand344-0 ligand6074-0
FATGIR,Pt,ligand469-0 ligand469-0 ligand15061-0
ALOBOT,Nb,ligand0-0 ligand0-0 ligand0-0 ligand0-0 ligand0-0 ligand38051-0
ZOVSUA,Co,ligand0-0 ligand0-0 ligand10757-0
SOHFOL,Cu,ligand6223-0
KATTAA,Re,ligand0-0 ligand0-0 ligand290-0 ligand764-0 ligand764-0
SEQKIK,Au,ligand438-0 ligand10913-0
SISFAF,Co,ligand20-0 ligand964-0 ligand12388-0 ligand12388-0
BIPFEN,Pt,ligand136-0 ligand5231-0 ligand5231-0
NAGGUX,Ni,ligand34523-0
HAJBIH,Pd,ligand20-0 ligand20-0 ligand91-0 ligand33892-0
EDIRAN,Fe,ligand0-0 ligand0-0 ligand18889-0
ACINUX,Co,ligand47-0 ligand47-0 ligand54-0 ligand54-0
MEQSAF,Pd,ligand0-0 ligand0-0 ligand5939-0
DEDREK,Ni,ligand20-0 ligand26987-0
YAJRUW,Ti,ligand0-0 ligand0-0 ligand14119-0
SAKREF,Y,ligand362-0 ligand362-0 ligand362-0 ligand9933-0
NOSGEH,Ti,ligand0-0 ligand0-0 ligand14809-0
QOQPES,Ru,ligand22-0 ligand115-0 ligand636-0 ligand636-0
ODOWOT,Ru,ligand0-0 ligand0-0 ligand11-0 ligand11-0 ligand25900-0
ULONUG,Ti,ligand0-0 ligand0-0 ligand852-0 ligand6638-0
OYOREB,Ir,ligand59-0 ligand59-0 ligand59-0 ligand924-0 ligand29045-0
YESRIX,Ni,ligand959-1 ligand959-1
YEJSIQ,Os,ligand20-0 ligand22-0 ligand28-0 ligand28-0
YIVVII,Mo,ligand16-0 ligand55-0 ligand482-0 ligand834-0
WEWSIB,Zn,ligand20-0 ligand20-0 ligand6892-0
RAYRAN,Ir,ligand101-0 ligand484-0 ligand484-0
NUYREH,Zn,ligand0-0 ligand0-0 ligand14210-0
AQEKOZ,V,ligand55-0 ligand1231-0 ligand20706-0
QEBXAY,Zn,ligand8-0 ligand8-0 ligand22274-0 ligand22274-0
BACCAL,Ru,ligand0-0 ligand1761-1 ligand5923-1
XUVJUU,Zr,ligand0-0 ligand0-0 ligand31122-0
ZEDCES,Ni,ligand5452-0 ligand5452-0 ligand13808-0 ligand13808-0
LIJFET,Ag,ligand59-0 ligand30509-0
PEHJAQ,Re,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand20-0 ligand6315-0
YAKCIZ,Fe,ligand6-0 ligand6-0 ligand12443-0 ligand18926-0
XEKYAN,Zr,ligand0-0 ligand0-0 ligand18858-0 ligand18858-0
NIKPUS,Re,ligand55-0 ligand1593-0 ligand2098-0
AYAQAS,Ti,ligand22-0 ligand36-0 ligand36-0 ligand13198-0
MUNTIY,Fe,ligand11-0 ligand11-0 ligand11-0 ligand24468-0
NASFIW,Zn,ligand8-0 ligand8-0 ligand397-0 ligand397-0
XECSIJ,Fe,ligand11-0 ligand11-0 ligand61-0 ligand7037-0
NAXPOS,Fe,ligand11-0 ligand22-0 ligand73-0 ligand5222-0
RERWET,Pd,ligand24999-0
EBEZEU,Zn,ligand8-0 ligand33749-0
TUYHAY,V,ligand55-0 ligand955-0 ligand2958-0
EJOWIK,Rh,ligand36-0 ligand91-0 ligand3200-0 ligand3200-0
CAYPAT,Pt,ligand0-0 ligand0-0 ligand15214-0 ligand15214-0
YIMVOG,Ir,ligand0-0 ligand52-0 ligand191-0 ligand8709-0
AYOXIV,Os,ligand0-0 ligand924-0 ligand3657-0
GOSMUW,Cr,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand35245-0
LICQEW,Pd,ligand0-0 ligand0-0 ligand8194-0
IQETED,Co,ligand11-0 ligand11-0 ligand11-0 ligand28-0 ligand34395-0
WAVFUV,Au,ligand28-0 ligand7235-0
TOTZEK,Co,ligand61-0 ligand3655-0
WUMLIZ,Pd,ligand0-0 ligand36-0 ligand21536-0
LUBRIJ,Pd,ligand73-0 ligand6135-0
QUNKOC,Re,ligand8-0 ligand11-0 ligand11-0 ligand11-0 ligand9174-0
UGEYAJ,Mn,ligand11-0 ligand11-0 ligand11-0 ligand20-0 ligand17347-0
PANVUY,Ag,ligand14526-0 ligand14526-0
CIXREG,Ni,ligand1-0 ligand1-0 ligand17505-0 ligand17505-0
UBASIC,Hf,ligand0-0 ligand22-0 ligand22-0 ligand2588-0
HAHSIS,Ru,ligand11-0 ligand251-0 ligand30649-0
TECWAA,Pt,ligand0-0 ligand0-0 ligand325-0 ligand1435-0
MIGMIA,Os,ligand59-0 ligand680-0 ligand12397-0
GIQBUG,Hf,ligand0-0 ligand0-0 ligand533-0 ligand533-0
FIRBIS,Ru,ligand17-0 ligand90-0 ligand90-0 ligand924-0
LOBLET,Ni,ligand12311-0
PAXTUH,Zn,ligand20-0 ligand20-0 ligand9130-0
YORMIB,Mo,ligand42-0 ligand55-0 ligand55-0 ligand33409-0
EHOHUF,Ag,ligand28-0 ligand28-0 ligand163-0
MAJKUG,Pd,ligand0-0 ligand0-0 ligand6367-0
VUPQEE,Zn,ligand0-0 ligand0-0 ligand21208-0
GOSZUM,Fe,ligand4180-0 ligand4180-0 ligand13819-0
PUPCEI,Y,ligand107-0 ligand2348-0 ligand3221-0 ligand3221-0
OVIKEM,Pd,ligand12-0 ligand12-0 ligand28-0 ligand3786-0
BOJWUT,Cd,ligand163-0 ligand163-0 ligand5683-0 ligand5683-0
VAQCIB,Pt,ligand20-0 ligand29-0 ligand36-0 ligand36-0 ligand36-0
BEDNII,Ru,ligand0-0 ligand0-0 ligand28-0 ligand8575-0
WEQWOE,Mo,ligand11-0 ligand11-0 ligand11-0 ligand13119-0
HAZCIX,Pd,ligand20-0 ligand20-0 ligand16483-0
PECKER,Fe,ligand362-0 ligand362-0 ligand3807-0 ligand3807-0
REZDAD,Ti,ligand6-0 ligand6-0 ligand482-0 ligand2045-0 ligand2348-0
REYVAW,Tc,ligand0-0 ligand0-0 ligand55-0 ligand221-0 ligand3268-0 ligand3268-0
BOHDOV,Ru,ligand0-0 ligand24-0 ligand5608-0
GOBXUU,Ir,ligand2398-0 ligand2553-0 ligand15204-0
AHIGUU,Ni,ligand6-0 ligand6-0 ligand36-0 ligand14114-0
LIWKOU,Ir,ligand11-0 ligand11-0 ligand12-0 ligand3899-0
CSINIA,Ni,ligand0-0 ligand6-0 ligand6-0 ligand1001-0
RARSEM,W,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand6006-0
OZUYEO,Mn,ligand11-0 ligand11-0 ligand30070-0
OZINAO,Ti,ligand79-0 ligand8509-0
ZORCOB,Re,ligand11-0 ligand11-0 ligand11-0 ligand20-0 ligand13421-0
KIRXIU,Pd,ligand36-0 ligand40-0 ligand37507-0
YUGDAG,Ru,ligand22-0 ligand249-0 ligand18717-0
OHIQIH,Rh,ligand0-0 ligand169-0 ligand2927-0 ligand2927-0
PADSUK,Ru,ligand0-0 ligand0-0 ligand464-0 ligand23057-0
HAZZEN,Ir,ligand0-0 ligand91-0 ligand91-0 ligand91-0 ligand591-0
COHCIP,Zn,ligand659-0 ligand18260-0
GULJON,Rh,ligand0-0 ligand11-0 ligand19432-0
OPUBAD,Ni,ligand0-0 ligand0-0 ligand4218-0 ligand4218-0
DOGKER,Pd,ligand59-0 ligand21052-0
WILFOM,Pt,ligand0-0 ligand0-0 ligand8169-0
IXEGEY,Rh,ligand191-0 ligand37697-0
HEHGOT,Au,ligand0-0 ligand0-0 ligand0-0 ligand24824-0
ACUKOB,V,ligand55-0 ligand955-0 ligand16682-0
FUJPAD,Cu,ligand29-0 ligand6829-0
DAPYUQ,Pd,ligand20-0 ligand20-0 ligand847-0
TIFCES,Ti,ligand0-0 ligand0-0 ligand0-0 ligand107-0 ligand107-0 ligand2415-0
SIWCAD,Pd,ligand0-0 ligand1381-0
NIXFIM,Ir,ligand61-0 ligand12006-0
BETQAT,Mn,ligand173-0 ligand173-0 ligand173-0
GEWFIB,Pt,ligand0-0 ligand0-0 ligand3346-0
TEYTEX,Ru,ligand61-0 ligand481-0 ligand691-0
NAQNEZ,Pt,ligand0-0 ligand0-0 ligand325-0 ligand1551-0
ZIDQAI,Ni,ligand828-0
CONRUT,Co,ligand1012-0 ligand23900-0
GUZQAV,Ni,ligand16185-0 ligand16185-0
GISXEO,Mn,ligand47-0 ligand1437-0
KIMDAP,Pd,ligand2736-0 ligand5163-0
DUSHEH,Ir,ligand0-0 ligand6-0 ligand61-0 ligand155-0
WIKVIX,Ir,ligand0-0 ligand11-0 ligand11-0 ligand18190-1
ODOWOV,Pd,ligand14-0 ligand16263-0
WETHAF,Ti,ligand0-0 ligand22-0 ligand36214-0
HIJZAE,Ru,ligand24-0 ligand47-0 ligand5902-0
COMKEV,Ru,ligand61-0 ligand924-0 ligand25624-0
UCEDOX,Re,ligand55-0 ligand115-0 ligand26916-0
KITLIL,Zn,ligand0-0 ligand0-0 ligand31964-0 ligand31964-0
AYIKOI,Zn,ligand0-0 ligand0-0 ligand27471-0
MITYOF,Rh,ligand0-0 ligand61-0 ligand18715-0
KABXOA,Co,ligand54-0 ligand54-0 ligand151-0 ligand151-0
IQAXON,Ti,ligand0-0 ligand22-0 ligand4573-0
POXGEP,Ni,ligand362-0 ligand362-0 ligand11147-0
HITRIP,Cr,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand35417-0
MINDAO,W,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand23788-0
SANDAM,Pd,ligand0-0 ligand0-0 ligand24779-0 ligand24779-0
XONDEM,Au,ligand12-0 ligand12-0 ligand12-0 ligand76-0
DUBJEP,W,ligand0-0 ligand0-0 ligand0-0 ligand59-0 ligand18938-0
WUHCAE,Nb,ligand0-0 ligand0-0 ligand0-0 ligand0-0 ligand0-0 ligand221-0
UQABUK,Pd,ligand31214-0 ligand31214-0
ZULROP,Rh,ligand0-0 ligand61-0 ligand3179-0
CENNUF,Nb,ligand0-0 ligand0-0 ligand14-0 ligand22025-0 ligand24259-0
KUJJAB,Pd,ligand0-0 ligand12-0 ligand5546-0
ZOGMEP,Zn,ligand0-0 ligand0-0 ligand11984-0
TUFFUY,Os,ligand115-0 ligand115-0 ligand115-0 ligand130-0 ligand14915-0
AFUJIX,Fe,ligand1060-0 ligand2300-0 ligand2300-0
KOGHAQ,Ru,ligand0-0 ligand29-0 ligand59-0 ligand1087-0
NILPUX,Ru,ligand0-0 ligand24-0 ligand13363-0
JOMMAC,Ni,ligand52-0 ligand344-0 ligand344-0 ligand5038-0
IVAJAS,Re,ligand0-0 ligand11-0 ligand11-0 ligand11-0 ligand6599-0
HEFNEL,Cu,ligand117-0 ligand990-0 ligand17446-0
ZIZGAS,Au,ligand20-0 ligand30610-0
WAQCIB,Au,ligand0-0 ligand126-0
LEWPAG,Pd,ligand28-0 ligand28-0 ligand34445-0
NEFWUQ,Ru,ligand0-0 ligand23181-0 ligand23182-0
TAYYOI,Ni,ligand2668-0 ligand2668-1
PIBDIO,Zr,ligand0-0 ligand0-0 ligand38252-0
GIBMEM,Ru,ligand0-0 ligand32926-0
QOQGEK,Zn,ligand1001-0 ligand20228-0
MAQLUM,Zn,ligand20-0 ligand20-0 ligand13784-0
NOPBEC,Ni,ligand115-0 ligand115-0 ligand1093-0 ligand1093-0
GUKDAT,Pd,ligand10-0 ligand3724-0 ligand3724-0
FUFHIZ,Pd,ligand20-0 ligand20-0 ligand539-0
IYONIW,Zn,ligand12-0 ligand12-0 ligand959-1
AVOROS,Au,ligand12-0 ligand1860-0
CACTAC,Rh,ligand0-0 ligand0-0 ligand0-0 ligand8055-0
GATNAR,Ti,ligand0-0 ligand0-0 ligand23366-0
SIJKUR,Zn,ligand16794-0 ligand16794-0
LEMXUX,Mo,ligand514-0 ligand1599-0 ligand2045-0
IHEKEN,Fe,ligand362-0 ligand362-0 ligand362-0 ligand26778-0
SILMIL,Ru,ligand0-0 ligand680-0 ligand32653-0
PAWWUG,Pt,ligand0-0 ligand15807-0
PIKZAL,Pt,ligand20-0 ligand36-0 ligand4019-0
EQALAL,Ru,ligand0-0 ligand1439-0 ligand3579-0
COFSOI,Pt,ligand940-0 ligand941-0
NOVJUF,Pd,ligand12-0 ligand992-0
LIPKOK,Ta,ligand0-0 ligand68-0 ligand68-0 ligand68-0 ligand7305-0
RUKMER,Ru,ligand0-0 ligand0-0 ligand11-0 ligand11-0 ligand20295-0
IMEZEH,Ni,ligand29284-0
SOSXAZ,Mo,ligand55-0 ligand55-0 ligand9350-0 ligand9350-0
ZOYROW,Ni,ligand0-0 ligand4025-0
UNUKAR,Zn,ligand245-0 ligand8037-0 ligand8037-0
ZEFNUT,Ir,ligand0-0 ligand61-0 ligand7367-0
MUYROQ,Au,ligand28-0 ligand25142-0
WORNOI,Cd,ligand5041-0 ligand5041-0 ligand5042-0 ligand5042-0
YUXFAZ,Pd,ligand0-0 ligand251-0 ligand17151-0
SOFHAX,Cd,ligand117-0 ligand266-0 ligand9783-0
BADXUB,Pt,ligand4127-0 ligand4127-0
EWIVEM,Fe,ligand0-0 ligand0-0 ligand27952-0
LUDTUC,Ru,ligand0-0 ligand28-0 ligand571-0 ligand18884-0
TEQPAG,Ti,ligand22-0 ligand31150-0
ABOZOH,Zn,ligand0-0 ligand0-0 ligand36666-0
XITBUX,W,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand20200-0
SATGEC,Au,ligand28-0 ligand17122-0
VIDROQ,Au,ligand0-0 ligand8933-0
JAXKOL,Ag,ligand24972-0 ligand24972-0
HALVID,Ir,ligand61-0 ligand353-0 ligand2602-0 ligand2602-0
WUTDAQ,Fe,ligand6-0 ligand11-0 ligand8082-0
FOHJUJ,Pt,ligand73-0 ligand73-0 ligand19554-0
POWCAF,Ru,ligand0-0 ligand6-0 ligand29-0 ligand29-0
HOXMOY,Rh,ligand472-0 ligand6791-0
TUTMAW,Ni,ligand0-0 ligand0-0 ligand518-0
TUTCOD,Zn,ligand362-0 ligand362-0 ligand15183-0 ligand15183-0
WUHDEK,Ni,ligand0-0 ligand14-0 ligand290-0
TALWEL,Ni,ligand49-0 ligand49-0 ligand31301-0
UCATUN,Ru,ligand0-0 ligand0-0 ligand680-0 ligand2193-0
YEFLEC,Pd,ligand12-0 ligand12-0 ligand12-0 ligand34779-0
KUMFUT,Ag,ligand0-0 ligand3685-0
IYUTAX,Pd,ligand8-0 ligand710-0
LILNUS,Fe,ligand52-0 ligand263-0 ligand475-0 ligand2562-0
NABZAU,Ru,ligand0-0 ligand24-0 ligand15669-0
VEZQOJ,Cd,ligand266-0 ligand266-0 ligand5237-0 ligand5237-0
BOFDOS,Pd,ligand28919-0 ligand28919-0
HISRIN,Cr,ligand130-0 ligand523-0 ligand1975-0 ligand1975-0
UQOGIS,Cu,ligand17186-0 ligand17187-0
JERCEO,V,ligand6-0 ligand6-0 ligand22-0 ligand2393-0
MIRXUI,Zn,ligand47-0 ligand47-0 ligand11040-0 ligand11040-0
QIGRON,Co,ligand0-0 ligand0-0 ligand0-0 ligand3421-0
JADKII,Ni,ligand6-0 ligand36-0 ligand955-0
REGPEY,Fe,ligand11-0 ligand22-0 ligand4897-0
OWAVUG,Pd,ligand20-0 ligand20-0 ligand91-0 ligand24422-0
VORYOS,V,ligand55-0 ligand55-0 ligand30129-0
GUWXUR,Zn,ligand20608-0 ligand20608-0
AQUTEM,Ni,ligand33360-0 ligand33360-0
BICLIL,Ru,ligand657-0 ligand657-0 ligand7010-0
WAGFOB,Au,ligand28-0 ligand11835-0
WEMWIW,Fe,ligand6-0 ligand6-0 ligand6-0 ligand52-0 ligand29880-0
KIWNOT,W,ligand0-0 ligand0-0 ligand55-0 ligand796-0 ligand37411-0
SANZIU,Ru,ligand0-0 ligand24-0 ligand8868-0
RAZWAR,Cd,ligand14-0 ligand5644-0 ligand5644-0
OFILUK,Ti,ligand0-0 ligand0-0 ligand27271-0
ROVYEI,Au,ligand288-0 ligand4845-0
BUVRIU,Pt,ligand36-0 ligand36-0 ligand27398-0
ADIYER,Pt,ligand8664-0 ligand8664-0
ROJNAI,Ru,ligand9488-0 ligand22079-0
WIVRIF,Rh,ligand0-0 ligand0-0 ligand13431-0
UWEKIR,Os,ligand22-0 ligand28-0 ligand28-0 ligand9799-0
RUGRIU,Ta,ligand0-0 ligand0-0 ligand454-0 ligand4056-0 ligand15599-0
ATAHOS,Pd,ligand0-0 ligand0-0 ligand14192-0
MUBBOA,Pt,ligand60-0 ligand60-0 ligand25608-0
ZAYMIX,Ni,ligand0-0 ligand24865-0
YEPPOB,Rh,ligand61-0 ligand91-0 ligand22956-0
EJUCOB,V,ligand55-0 ligand1231-0 ligand11782-0
UZIDAJ,Zn,ligand266-0 ligand9946-0 ligand9946-0
HAKXEA,Ag,ligand36194-0
TDTCCO,Co,ligand2306-0 ligand2306-0 ligand2306-0
FOYDAZ,Ni,ligand0-0 ligand0-0 ligand5137-0
LENQAY,Mo,ligand68-0 ligand130-0 ligand23640-0
CUJROP,Au,ligand0-0 ligand6140-0
FIBJAC,Cd,ligand8-0 ligand8-0 ligand4117-0 ligand4117-0
GAMCUS,Rh,ligand0-0 ligand0-0 ligand8-0 ligand710-0
LITGEA,Co,ligand2033-0 ligand2033-0
IGEXOJ,Pt,ligand0-0 ligand558-0 ligand5970-0
MEDMOB,Pd,ligand0-0 ligand0-0 ligand36568-0
WERLEK,Re,ligand0-0 ligand0-0 ligand28-0 ligand55-0 ligand1231-0 ligand11418-0
ZEPWAW,Rh,ligand0-0 ligand191-0 ligand12432-0
NITGOM,Rh,ligand0-0 ligand9370-0
YADPOK,V,ligand55-0 ligand221-0 ligand18438-0
IPUGAE,Au,ligand0-0 ligand20-0 ligand7937-0 ligand10274-0
BECNEC,Mo,ligand11-0 ligand11-0 ligand11-0 ligand18072-0
MOSWEY,Mn,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand778-0
HUXCIO,Pd,ligand0-0 ligand36-0 ligand15720-0
GIZXIW,Re,ligand11-0 ligand11-0 ligand11-0 ligand636-0 ligand636-0 ligand636-0
TUGPAN,Pd,ligand36-0 ligand5311-0
WACCAI,Au,ligand0-0 ligand20339-0
MOQHIL,V,ligand42-0 ligand55-0 ligand221-0 ligand11427-0
AYIKAU,Zn,ligand0-0 ligand0-0 ligand23624-0
UHADUC,Pd,ligand0-0 ligand112-0 ligand112-0 ligand112-0
PAMFAM,Ru,ligand0-0 ligand0-0 ligand24-0 ligand7122-0
CIFTOB,Au,ligand0-0 ligand0-0 ligand0-0 ligand13143-0
CIHVUK,Co,ligand22-0 ligand344-0 ligand344-0
FOCWOK,Os,ligand0-0 ligand130-0 ligand447-0 ligand447-0
GEKVEX,Ni,ligand6-0 ligand6-0 ligand9447-0 ligand9447-0
JEMVIK,Fe,ligand6-0 ligand173-0 ligand173-0
TIJWUF,Pt,ligand0-0 ligand0-0 ligand15951-0
UTOQAX,Au,ligand481-0 ligand6737-0
DACFOD,Rh,ligand0-0 ligand61-0 ligand2927-0
WAHLID,W,ligand55-0 ligand55-0 ligand124-0 ligand124-0 ligand6155-0
GAMZUQ,Fe,ligand1533-0 ligand1533-0 ligand30446-0 ligand30446-0
DAWWUW,Au,ligand0-0 ligand25509-0
JOKGEV,Cr,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand6115-0
OWASEN,Ru,ligand24-0 ligand31940-0
JIYWOD,Pt,ligand0-0 ligand0-0 ligand0-0 ligand257-0
HITKIE,Pt,ligand0-0 ligand0-0 ligand1-0 ligand5886-0
YESBAZ,Cr,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand36210-0
HIJMOC,Re,ligand11-0 ligand11-0 ligand11-0 ligand20-0 ligand26159-0
HEXJUR,Pd,ligand20478-0 ligand20479-0
VETJUA,Ir,ligand0-0 ligand0-0 ligand0-0 ligand131-0 ligand131-0 ligand571-0
UMUCIP,Zn,ligand209-0 ligand33090-0
VIFMOP,Ni,ligand5547-0 ligand19576-0
FAXQAA,Cr,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand694-0
TIBTUW,Re,ligand11-0 ligand11-0 ligand11-0 ligand20-0 ligand6882-0
GUJNEH,Zn,ligand20-0 ligand20-0 ligand15171-0 ligand15171-0
AXBOCU,W,ligand0-0 ligand0-0 ligand0-0 ligand0-0 ligand55-0 ligand21267-0
LABMEH,Pd,ligand20-0 ligand20-0 ligand19630-0
OFUWIW,Zr,ligand3340-0 ligand3340-0 ligand23462-0
KOFBEM,W,ligand11-0 ligand11-0 ligand11-0 ligand14849-0
GEGLUB,Mn,ligand11-0 ligand11-0 ligand26767-0 ligand26768-0
LONCAS,Co,ligand115-0 ligand115-0 ligand2174-0
VIJRAH,Ru,ligand228-0 ligand1178-0 ligand4800-0
APICUZ,Ru,ligand61-0 ligand353-0 ligand12777-0
ICUDOA,Zn,ligand1292-0 ligand4546-0
EJIHUB,Ti,ligand0-0 ligand0-0 ligand3637-0 ligand3637-0
GASLUK,Au,ligand0-0 ligand1718-0
KESRUV,Ni,ligand0-0 ligand0-0 ligand35410-0
NOXXEG,Cu,ligand3842-0 ligand38071-0
NARREF,Ti,ligand0-0 ligand22-0 ligand22-0 ligand30193-0
CEGBOI,Cd,ligand163-0 ligand163-0 ligand205-0 ligand205-0
WANVEQ,Pt,ligand7234-0 ligand7382-0
FIBMIN,Pt,ligand0-0 ligand73-0 ligand21324-0
XIMXOH,Ta,ligand124-0 ligand1094-0 ligand1094-0 ligand1094-0
HIWGAY,Ir,ligand0-0 ligand6-0 ligand191-0
NONZEV,Ti,ligand22-0 ligand347-0 ligand2324-0 ligand2324-0
YERQES,Os,ligand8-0 ligand61-0 ligand330-0
NAXGAW,Ni,ligand313-0 ligand5208-0 ligand5208-0
BIJPUH,Pd,ligand29156-0
CARTUK,Pt,ligand3901-0 ligand21399-0 ligand21400-0
JUFNUT,Pt,ligand0-0 ligand1-0 ligand1-0 ligand13626-0
UBAXUQ,Re,ligand11-0 ligand11-0 ligand20-0 ligand20-0 ligand3337-0
DEXBIS,Pt,ligand1714-0 ligand8480-0
JICTIB,Ni,ligand28560-0
WUMPUR,Fe,ligand52-0 ligand263-0 ligand2045-0
HUBWOS,Mo,ligand42-0 ligand55-0 ligand55-0 ligand22723-0
SASWOB,Ni,ligand20-0 ligand20-0 ligand18755-0 ligand18755-0
VICBEP,Au,ligand0-0 ligand1428-0
ISIXOX,Ru,ligand11-0 ligand11-0 ligand520-0
RESMEI,Re,ligand11-0 ligand11-0 ligand11-0 ligand16212-0
HADKOQ,Rh,ligand8-0 ligand1188-0 ligand1188-0 ligand23363-0
IPIWOW,Ir,ligand0-0 ligand43-0 ligand282-0
EXUBAA,Pt,ligand0-0 ligand0-0 ligand711-0
AWELOD,Re,ligand20-0 ligand55-0 ligand55-0 ligand55-0 ligand136-0
TIHZET,Zn,ligand266-0 ligand25997-0
JOBPEW,Au,ligand12-0 ligand33532-0
XANREK,Nb,ligand764-0 ligand13314-0 ligand13315-0
EYEHIA,Zn,ligand0-0 ligand0-0 ligand11756-0
XOLPUJ,Re,ligand473-0 ligand2127-0
EJANIN,Au,ligand0-0 ligand0-0 ligand0-0 ligand9403-0
VIHTAK,Os,ligand0-0 ligand4291-0 ligand6387-0
FUHXAH,Cd,ligand21414-0
SOWSAB,Fe,ligand20-0 ligand20-0 ligand10492-0
VIWQEX,Co,ligand20680-0
MEGXEC,Zn,ligand20-0 ligand20-0 ligand13045-0
LAQBUB,Au,ligand0-0 ligand5222-0
XUWGUR,Pd,ligand0-0 ligand0-0 ligand353-0 ligand5821-0
OLILIF,Au,ligand28-0 ligand35570-0
NASFEV,Ir,ligand0-0 ligand0-0 ligand0-0 ligand10752-0
XEVCEI,Fe,ligand362-0 ligand362-0 ligand7095-0 ligand7095-0
TAPYAN,Ni,ligand22-0 ligand21126-0
RIFXAI,Pd,ligand39-0 ligand31351-0
WAXMIV,Au,ligand0-0 ligand21625-0
JEYBOE,Pt,ligand2395-0 ligand2395-0 ligand7295-0 ligand7295-0
JUMMIQ,Cu,ligand12-0 ligand34535-0
ZOMFEM,Ni,ligand0-0 ligand6-0 ligand26021-0
BAMTOZ,Hf,ligand0-0 ligand3909-0 ligand23761-0
DIGLEN,Pd,ligand33509-0 ligand33509-0
UDUYAX,Ni,ligand4179-0 ligand4180-0 ligand4180-0
CACDIT,Pt,ligand36-0 ligand91-0 ligand8314-0
ECUPAT,Zr,ligand61-0 ligand61-0 ligand124-0 ligand124-0
SIGLAY,Pd,ligand0-0 ligand6822-0
OCEPIY,Pd,ligand0-0 ligand0-0 ligand1754-0 ligand1860-0
XAVNOX,Ir,ligand0-0 ligand52-0 ligand59-0 ligand1900-0 ligand1900-0 ligand1901-0
XAJWEK,Ni,ligand1-0 ligand1-0 ligand301-0 ligand3239-0
FETMID,Ir,ligand191-0 ligand22241-0
UKUMOE,Ti,ligand61-0 ligand61-0 ligand8474-1
XIGSAI,Mo,ligand55-0 ligand55-0 ligand26331-0 ligand26331-0
BUTJOR,Ni,ligand990-0 ligand7814-0
BOYQAH,Cd,ligand201-0 ligand245-0 ligand245-0 ligand362-0
CIQLAP,Zn,ligand91-0 ligand2657-0 ligand2657-0
YAFVAC,Zn,ligand0-0 ligand0-0 ligand27000-0
MULBAX,Zn,ligand0-0 ligand19190-0
TECNAT,W,ligand10-0 ligand468-0 ligand468-0
KULYIA,Cu,ligand12-0 ligand134-0 ligand134-0
CAJJEC,Ti,ligand0-0 ligand0-0 ligand19723-0 ligand19723-0
XECXUZ,Cr,ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand11-0 ligand36249-0
POLMEM,Au,ligand0-0 ligand27209-0
CIJPUH,Hg,ligand12-0 ligand1937-0
FUJYER,Au,ligand0-0 ligand16515-0
DIJNAL,Ir,ligand1-0 ligand1-0 ligand1-0 ligand3330-0
ETOHUR,Fe,ligand362-0 ligand362-0 ligand10200-0
YIFYIV,Zr,ligand0-0 ligand735-0 ligand735-0 ligand2081-0
PIVNIR,Ru,ligand0-0 ligand651-0 ligand5894-0
GUYJES,Ni,ligand32598-0
COKMUK,Pt,ligand28-0 ligand113-0 ligand16231-0
NUVXAD,Pt,ligand29-0 ligand30357-0
HIGHOX,Sc,ligand1001-0 ligand1001-0 ligand22766-0
MAHVOJ,Cd,ligand0-0 ligand0-0 ligand13243-0
WIFMOP,Ir,ligand11-0 ligand23687-0
ALOYUX,Zn,ligand0-0 ligand0-0 ligand16394-0
NEPNON,Zn,ligand0-0 ligand0-0 ligand12274-0
PAPREG,Ru,ligand11-0 ligand61-0 ligand36943-0
DAWBOV,W,ligand3027-0 ligand3027-0 ligand3027-0 ligand8687-0
VATREQ,V,ligand55-0 ligand2406-0 ligand2958-0
TILQIO,Rh,ligand0-0 ligand0-0 ligand173-0 ligand173-0
