,core,ligands
GOKTEG,Ru,ligand1-0 ligand845-0 ligand5254-0
IGEXIC,Re,ligand1-0 ligand1-0 ligand24-0 ligand1152-0 ligand2270-0
KOXVUQ,Au,ligand1-0 ligand1-0 ligand21742-0
XAMGIC,Zn,ligand4002-0 ligand9932-0
EVAGEN,Rh,ligand1-0 ligand4-0 ligand4-0 ligand21894-0
QOJNOS,Pd,ligand1-0 ligand1-0 ligand9473-0
QAWGUR,Zn,ligand317-0 ligand15534-0
QAYROA,Pd,ligand1-0 ligand7821-0
FUFHOD,Ni,ligand5612-1 ligand5612-1
KOJZEQ,Pd,ligand1-0 ligand1-0 ligand27395-0
WUCLOV,Pt,ligand294-0 ligand294-0 ligand7414-0 ligand7830-0
NEBBUS,Fe,ligand1-0 ligand1-0 ligand22624-0
DOTVOA,Cu,ligand4951-0
GETSII,Co,ligand7104-0
UDACAG,Au,ligand17234-0 ligand17234-0
NENSUX,Ni,ligand17507-0
MUNTOE,Fe,ligand4-0 ligand4-0 ligand51-0 ligand22044-0
MASVAD,Ni,ligand11-0 ligand11-0 ligand2817-0 ligand2817-0
DAYRAZ,Pd,ligand1-0 ligand21847-0
ALUVOT,Ni,ligand1-0 ligand6396-0
YAKCOF,Fe,ligand4-0 ligand38-0 ligand38-0 ligand113-0 ligand7635-0
GETTOO,Pt,ligand51-0 ligand532-0 ligand16164-0
ZEGJUQ,Fe,ligand48-0 ligand21472-0
CEHXIZ,Fe,ligand1-0 ligand1-0 ligand13536-0
OHUHEE,V,ligand24-0 ligand24-0 ligand19968-0
TEYXUQ,Pd,ligand1-0 ligand1-0 ligand7913-0
MUXXAG,Ni,ligand22144-0 ligand22144-0
NUFNIN,Ru,ligand1-0 ligand4-0 ligand4-0 ligand188-0 ligand8821-0
HAXKAV,Ni,ligand18382-0
KUYNEX,Fe,ligand4-0 ligand4-0 ligand4-0 ligand16641-0
TUJPUJ,Co,ligand15522-0
TOLHEJ,Ni,ligand51-0 ligand15677-0
KEVHOJ,Pd,ligand7800-0 ligand7940-0
NUXQAA,Mn,ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand8050-0
FEHJAE,Pd,ligand73-0 ligand73-0 ligand24150-0
DETSAZ,Mo,ligand24-0 ligand24-0 ligand78-0 ligand28524-0
BEWZIP,Co,ligand38-0 ligand38-0 ligand40-0 ligand25579-0
LEKWEE,Cr,ligand4-0 ligand4-0 ligand4-0 ligand7373-0
LIRDAT,Re,ligand1-0 ligand4-0 ligand4-0 ligand4-0 ligand2728-0
WEXPOF,Pt,ligand1-0 ligand1-0 ligand8958-0
HUNHII,Mn,ligand4-0 ligand4-0 ligand4-0 ligand1747-0
EHOMOE,Mn,ligand3-0 ligand4-0 ligand4-0 ligand4-0 ligand669-0
VOWVAE,Fe,ligand4-0 ligand45-0 ligand51-0 ligand26176-0
GIWCIA,Ru,ligand38-0 ligand45-0 ligand188-0 ligand188-0
AQITEA,Pt,ligand3-0 ligand3-0 ligand370-0 ligand1178-0
SADXIH,Ru,ligand51-0 ligand1496-0 ligand1496-0 ligand14257-0
QIDNEX,Ni,ligand92-0 ligand22591-0
COSJAW,Cu,ligand40-0 ligand40-0 ligand10111-0
ZOQFIU,Pd,ligand115-0 ligand126-0 ligand126-0
UJALAT,Pt,ligand4471-0 ligand8926-0
XARRIS,Fe,ligand4-0 ligand4-0 ligand38-0 ligand38-0 ligand267-0
XOXXIR,Pt,ligand1-0 ligand17340-0 ligand27352-0
ESAQAQ,Au,ligand1404-0 ligand1404-0
UCIGUJ,Fe,ligand6454-0 ligand6454-0
WIJLAE,Fe,ligand279-0 ligand279-0 ligand9027-0 ligand9027-0
NEMDIV,Ti,ligand1-0 ligand1-0 ligand45-0 ligand13791-0
TOXLEX,Ti,ligand1-0 ligand57-0 ligand1576-0 ligand1576-0
MINXUE,Au,ligand51-0 ligand20402-0
XAGBIQ,Fe,ligand8-0 ligand49-0 ligand49-0 ligand23608-0
NEXTIT,Zr,ligand18-0 ligand18-0 ligand6978-0 ligand6978-0
BUFTIH,Mo,ligand24-0 ligand24-0 ligand12427-0
VUSXUE,Cu,ligand23545-0
XIQQIZ,Y,ligand48-0 ligand48-0 ligand2770-0
HINTUU,Cr,ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand11544-0
CACMIC,Pt,ligand1-0 ligand67-0 ligand26784-0
FANVUO,Pt,ligand140-0 ligand142-0 ligand524-0
FEPVII,Ru,ligand1-0 ligand13-0 ligand2241-0
HUNZUN,Pt,ligand3-0 ligand18-0 ligand18-0 ligand321-0 ligand9620-0
JAYMUR,Pt,ligand14997-0 ligand14997-0
TOHCIF,Ir,ligand3-0 ligand48-0 ligand2447-0
UMISAK,Ni,ligand24131-0 ligand24131-0
GAJFON,Cd,ligand1-0 ligand1-0 ligand24864-0
KELREZ,Pd,ligand1-0 ligand1-0 ligand4359-0
FIVWIQ,Ti,ligand1-0 ligand1-0 ligand1-0 ligand1-0 ligand2168-0 ligand2168-0
ZOKROI,W,ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand29841-0
ZACKUJ,Ti,ligand1-0 ligand1-0 ligand2453-0 ligand2453-0
KAKQAQ,Pd,ligand1-0 ligand1-0 ligand1897-0
MEDZIF,Pt,ligand40-0 ligand40-0 ligand14870-0
ROKFUS,Au,ligand2804-0 ligand2804-0
PERPOU,Au,ligand51-0 ligand5419-0
SEQRAI,Cu,ligand145-0 ligand1264-0
BEPMIT,Pd,ligand1-0 ligand1-0 ligand1246-0
AXOTAK,Ni,ligand2290-0
QAHWIH,Hg,ligand3-0 ligand3-0 ligand6223-0
VEVPOC,Pd,ligand14805-0 ligand14805-0
ADUGOY,Pd,ligand1-0 ligand3852-0 ligand8774-0
FIGGUY,Pd,ligand384-0 ligand29467-0
QETDOL,Au,ligand1-0 ligand10123-0
XIXVOP,Hf,ligand1-0 ligand1-0 ligand1-0 ligand430-0 ligand6742-0
WASGUS,Pt,ligand197-0 ligand8871-0
HAKCUR,Re,ligand4-0 ligand4-0 ligand38-0 ligand38-0 ligand38-0 ligand89-0
NEPNED,Pd,ligand1-0 ligand1-0 ligand20534-0
VEZXAA,Rh,ligand89-0 ligand1438-0 ligand1712-0 ligand1712-0
KOHRII,Os,ligand1-0 ligand48-0 ligand48-0
TILFAW,Ni,ligand1-0 ligand462-0
ANAVES,Ru,ligand1-0 ligand13-0 ligand20890-0
UZELIV,Zn,ligand358-0 ligand25656-0
XEKGOJ,Ru,ligand141-0 ligand141-0 ligand409-0 ligand5366-0
AMEBOL,Au,ligand1-0 ligand24267-0
DADXOW,Ni,ligand9541-0
HIDZEA,V,ligand24-0 ligand24-0 ligand311-0 ligand26345-0
GUZVAY,Ir,ligand193-0 ligand27012-0
EXEJAS,Mo,ligand1-0 ligand38-0 ligand38-0 ligand1165-0 ligand25690-0
XORTAB,Ir,ligand48-0 ligand141-0 ligand10375-0
NADRUF,Y,ligand45-0 ligand185-0 ligand17352-0
DAYKOD,Co,ligand1-0 ligand1-0 ligand26979-0 ligand26979-0
GILSIF,Zn,ligand34-0 ligand34-0 ligand633-0 ligand9032-0
XEQSIV,Ta,ligand1-0 ligand1-0 ligand48-0 ligand28488-0
VIXROJ,Mo,ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand1515-0
BOFDIM,Pd,ligand4342-0 ligand4342-0
MOPLEJ,Zn,ligand1-0 ligand27680-0
DUMNEG,Pt,ligand23433-0
JAHTAO,Fe,ligand1-0 ligand1-0 ligand5668-0
JUVJAN,W,ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand777-0 ligand1153-0
BICLOR,Ru,ligand830-0 ligand2811-0 ligand2811-0
BAMTEP,Zr,ligand18-0 ligand18-0 ligand18-0 ligand17175-0
TILXIX,Mo,ligand38-0 ligand338-0 ligand488-0 ligand488-0
MERQAB,Os,ligand1-0 ligand1-0 ligand197-0 ligand3692-0
XEKWIV,Ni,ligand55-0 ligand10346-0 ligand17545-0 ligand17545-0
QAMHET,Pd,ligand1-0 ligand1-0 ligand5454-0
QOGBEU,Pt,ligand1-0 ligand1-0 ligand1579-0
XABZAC,Pt,ligand29-0 ligand29-0 ligand8501-0
JOWYAV,Nb,ligand1-0 ligand1-0 ligand1-0 ligand38-0 ligand38-0 ligand38-0 ligand43-0
HEDVIV,Y,ligand1611-0 ligand1612-0 ligand1612-0
WORKUJ,Zn,ligand1-0 ligand11674-0
MUKBID,Pd,ligand1588-0 ligand10356-0
NAVPIJ,Pt,ligand1-0 ligand141-0 ligand7868-0
XUSKUR,Ta,ligand1-0 ligand1-0 ligand1-0 ligand60-0 ligand185-0
KEDFEF,Ni,ligand3-0 ligand3-0 ligand10828-0 ligand10828-0
VOMRAR,Pd,ligand16592-0 ligand16592-0
MEBYIE,Ni,ligand23630-0
WEZXAA,Ti,ligand29796-0 ligand29796-0
EVUHUZ,Zr,ligand416-0 ligand416-0 ligand416-0 ligand12968-0
NAYSIR,Cr,ligand40-0 ligand45-0 ligand4338-1
MONSOZ,Fe,ligand1-0 ligand1-0 ligand11700-0
CEPMIT,Ti,ligand8016-0 ligand8016-0 ligand14001-0
YEMZEY,Pd,ligand1-0 ligand18-0 ligand19019-0
ROQGIN,Mo,ligand4-0 ligand4-0 ligand4-0 ligand24351-0
VICBOZ,Au,ligand1-0 ligand13272-0 ligand13272-0
FBGLNI,Ni,ligand31311-0
WODRAI,Ni,ligand3910-0
MCENCO,Co,ligand21-0 ligand21-0 ligand11876-0
HUFNUR,Co,ligand196-0 ligand196-0 ligand1502-0 ligand1502-0
TUDGUU,Zn,ligand1-0 ligand1-0 ligand8666-0 ligand8666-0
ACILIH,V,ligand24-0 ligand24-0 ligand1328-0
XIRTID,Au,ligand1-0 ligand3713-0
NAJYEE,Pt,ligand1-0 ligand1-0 ligand1-0 ligand1-0 ligand16010-0 ligand16010-0
VIHSOX,Ru,ligand1-0 ligand845-0 ligand12680-0
WAJDOA,Co,ligand188-0 ligand359-0 ligand359-0 ligand2874-0
DIYXUE,Zn,ligand279-0 ligand279-0 ligand28474-0 ligand28474-0
SOYVUX,Ir,ligand38-0 ligand48-0 ligand26813-0
AVORIM,Au,ligand3-0 ligand244-0
PODPEF,Pt,ligand1-0 ligand1-0 ligand21155-0 ligand21156-0
MIRJOP,Pt,ligand51-0 ligand366-0 ligand10230-0
SIWHUC,Re,ligand3-0 ligand3-0 ligand24-0 ligand51-0 ligand5165-0
HESPOK,Zn,ligand6932-0
KANPEU,Rh,ligand1-0 ligand1-0 ligand18858-0
PUFQEM,Pt,ligand1-0 ligand1-0 ligand596-0
UYETIC,Ni,ligand1-0 ligand1-0 ligand25945-0
POZMUM,W,ligand45-0 ligand45-0 ligand487-0
WEDWOR,Co,ligand111-0 ligand6848-0
BIJBAZ,Ni,ligand1-0 ligand1-0 ligand2088-0
CODZOL,Ru,ligand45-0 ligand51-0 ligand28522-0
YIYDAM,Ni,ligand3-0 ligand14740-0
BILGOT,Rh,ligand17-0 ligand49-0 ligand2430-0 ligand2430-0
NUWCOY,Au,ligand1-0 ligand23814-0
BEMVIY,Co,ligand291-0 ligand444-0 ligand1171-0 ligand2583-0
KAMCOR,Rh,ligand193-0 ligand4840-0
MEJWUW,Sc,ligand4039-0 ligand14062-0 ligand14062-0
KARHER,Fe,ligand188-0 ligand188-0 ligand16917-0
AZUKIR,Ru,ligand1-0 ligand13-0 ligand13683-0
DOFNOC,Hg,ligand353-0 ligand358-0
XATPAL,Pd,ligand1-0 ligand1-0 ligand13974-0 ligand13974-0
CONAEN,Co,ligand21-0 ligand136-0 ligand136-0 ligand444-0 ligand1727-0
DEXSOQ,Re,ligand4-0 ligand4-0 ligand4-0 ligand15077-0
PIXXID,Ni,ligand391-0 ligand21711-0
BUBKUF,Au,ligand1-0 ligand1-0 ligand21855-0
KINPIG,Cr,ligand48-0 ligand391-0 ligand392-0
ZAXXEB,Pt,ligand1-0 ligand1-0 ligand1-0 ligand1124-1
HUQGUW,Re,ligand4-0 ligand4-0 ligand4-0 ligand23719-0
HIPFAN,Ti,ligand1-0 ligand1-0 ligand24850-0
VONSUM,Ru,ligand4-0 ligand4-0 ligand141-0 ligand141-0 ligand226-0 ligand226-0
MAFYAU,Mo,ligand1-0 ligand1-0 ligand24-0 ligand24-0 ligand1451-0 ligand1451-0
ISUKUD,W,ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand30544-0
YAFLUO,Pd,ligand40-0 ligand40-0 ligand109-0
DENHAI,Zn,ligand8927-0 ligand8927-0
HUTSIZ,Re,ligand24-0 ligand40-0 ligand18398-0
COSNUV,Pd,ligand1-0 ligand8924-0
OKAKEQ,Pt,ligand18-0 ligand1711-0
QARRAC,Ru,ligand1-0 ligand484-0 ligand8383-0
AMEJOR,Pd,ligand1-0 ligand1-0 ligand18948-0
FEZRAG,Pt,ligand18-0 ligand18-0 ligand40-0 ligand40-0 ligand11609-0
PEHRAX,Zr,ligand2692-0 ligand4349-0 ligand15000-0
PIMVAI,V,ligand1-0 ligand24-0 ligand69-0 ligand409-0
JEBJAB,Mo,ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand24605-0
GATFEM,Ag,ligand8312-0 ligand8312-0
UNICAW,Ir,ligand1-0 ligand48-0 ligand9328-0
LIWQUE,Co,ligand1242-0 ligand2990-0
TUGXIE,Fe,ligand38-0 ligand38-0 ligand38-0 ligand89-0 ligand9699-0
DAMYEX,Mn,ligand4-0 ligand4-0 ligand45-0 ligand15070-0
ZIMYEZ,Zr,ligand48-0 ligand48-0 ligand353-0 ligand353-0
VOGHAD,Au,ligand15307-0 ligand15307-0
KIZQUH,V,ligand24-0 ligand78-0 ligand294-0 ligand28148-0
EDUVUV,Pt,ligand1-0 ligand1-0 ligand2566-0 ligand2566-0
ENCOPH,Co,ligand21-0 ligand12843-0 ligand17837-0
EZEQIJ,Pd,ligand3-0 ligand3-0 ligand15190-0
LIGBIP,Fe,ligand1044-0 ligand1044-0 ligand24531-0 ligand24531-0
SUMQAT,Ti,ligand416-0 ligand416-0 ligand8950-0
MIPSOW,La,ligand12790-0 ligand12790-0 ligand12791-0
QUQFOX,Cu,ligand51-0 ligand279-0 ligand311-0
JEWMAZ,V,ligand140-0 ligand654-0
GILKOD,Au,ligand1-0 ligand1-0 ligand105-0 ligand296-0
BOSLOM,Ir,ligand3-0 ligand48-0 ligand14170-0
FAPTEW,Tc,ligand1-0 ligand1-0 ligand16-0 ligand5936-0
YANTAL,Ru,ligand1-0 ligand4-0 ligand1712-0 ligand13190-0
TUMZOQ,W,ligand4-0 ligand4-0 ligand45-0 ligand22987-0
TUNHOB,Ni,ligand27922-0
RIRFUW,Fe,ligand4-0 ligand45-0 ligand19951-0
ATEWUT,Zn,ligand15673-0
LAFYAU,Ir,ligand1-0 ligand38-0 ligand7087-0
XESZOM,Co,ligand38-0 ligand38-0 ligand1228-0 ligand3583-0
RUGXUN,Zn,ligand1-0 ligand1-0 ligand25963-0 ligand25963-0
RUSGAN,Co,ligand654-0 ligand4653-0 ligand4653-0
RUJHOT,Ru,ligand13-0 ligand51-0 ligand1148-0
JIFZAC,Rh,ligand4-0 ligand4-0 ligand30260-0
UBIHIY,Pd,ligand1-0 ligand1-0 ligand29164-0
TAKDUH,Ni,ligand29207-0 ligand29207-1
LUNKOV,Rh,ligand193-0 ligand398-0
MUYZIQ,Ti,ligand1-0 ligand1-0 ligand21301-0
ZUHZUZ,Hg,ligand140-0 ligand27033-0
KIBSUK,Cd,ligand210-0 ligand210-0 ligand5500-0 ligand5500-0
YEVRAT,Ru,ligand2990-0 ligand31734-0
GUZRUO,Mo,ligand4-0 ligand4-0 ligand4-0 ligand5515-0 ligand9809-0
MESDIY,Zr,ligand48-0 ligand48-0 ligand89-0 ligand13733-0
ILEGAJ,Re,ligand3-0 ligand4-0 ligand4-0 ligand4-0 ligand3678-0
MOLTEM,Zn,ligand29-0 ligand34-0 ligand600-0 ligand22381-0
PAQYOY,Pd,ligand40-0 ligand40-0 ligand178-0 ligand13313-0
PARKOJ,Ni,ligand28688-0 ligand28688-0
LAXFIZ,W,ligand45-0 ligand45-0 ligand25636-0
UCISEH,Ir,ligand48-0 ligand89-0 ligand5534-0
GIPKIA,Ti,ligand416-0 ligand416-0 ligand22049-0
ZAHYEP,Cd,ligand5700-0 ligand5700-0 ligand9398-0 ligand9398-0
CERQUN,Re,ligand4-0 ligand4-0 ligand4-0 ligand24654-0
SIHWOV,Zr,ligand45-0 ligand45-0 ligand26355-0 ligand26355-0
FAHFAW,Pd,ligand3-0 ligand1052-0
NEFMOA,Zr,ligand1-0 ligand48-0 ligand4509-0
LOCNIC,Fe,ligand1-0 ligand4-0 ligand4-0 ligand112-0
BUHIPI,Ir,ligand89-0 ligand250-0 ligand250-0 ligand3120-0
ZEKHAA,Ru,ligand4-0 ligand4-0 ligand89-0 ligand253-0
NUNWUQ,Fe,ligand4-0 ligand4-0 ligand4-0 ligand7196-0 ligand7196-0
XEFZIS,Pd,ligand1-0 ligand5682-0
MOHFEW,Pd,ligand1-0 ligand1152-0 ligand9910-0
ROVFAL,Os,ligand3-0 ligand3-0 ligand133-0 ligand133-0 ligand133-0 ligand785-0
KOMKIG,Co,ligand9449-0 ligand22750-0
AWAQAS,Ir,ligand1-0 ligand1-0 ligand48-0 ligand177-0
JEDGOR,Ti,ligand1-0 ligand415-0 ligand11689-0
PIJMUR,Pd,ligand115-0 ligand1513-0
IGUFIB,Pd,ligand21559-0 ligand21559-0
WAWFAE,Pt,ligand96-0 ligand96-0
BAHFUO,Ni,ligand3-0 ligand2087-0 ligand6462-0
YECKIC,Au,ligand1-0 ligand21073-0
RIVTUM,Ag,ligand1727-0 ligand19479-0
LISXAM,Re,ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand51-0 ligand3725-0
CORZUF,Zn,ligand188-0 ligand24675-0 ligand24675-0
CUGZUA,Ir,ligand1-0 ligand48-0 ligand2438-0 ligand3467-0
GATMUK,Ti,ligand1-0 ligand1-0 ligand30275-0
DISBUD,Re,ligand1-0 ligand1-0 ligand24-0 ligand51-0 ligand20165-0
YAXFEI,Ni,ligand15047-0
NOKDIC,Pd,ligand51-0 ligand1835-0 ligand2364-0
ERIFIV,Pd,ligand1-0 ligand17534-0
PAQPED,Pd,ligand1-0 ligand5826-0 ligand5827-0
VAVBEA,Zn,ligand115-0 ligand1271-0 ligand2304-0
XIXNIE,Pd,ligand19000-0
MISQIO,Pd,ligand1-0 ligand27800-0
CUYGEJ,Ag,ligand19373-0
ZUTJUT,Pd,ligand1-0 ligand115-0 ligand436-0
CAFTIM,Fe,ligand4-0 ligand4-0 ligand4-0 ligand784-0 ligand784-0
AQETIB,Ir,ligand1-0 ligand45-0 ligand560-0 ligand560-0
SIXFIO,Pd,ligand384-0 ligand1729-0
IVUZUU,Zn,ligand1-0 ligand1-0 ligand6416-0 ligand6416-0
ZIZFOF,Au,ligand1-0 ligand11112-0
CAPQOZ,Nb,ligand24-0 ligand55-0 ligand55-0 ligand1231-0
VOKYAX,Tc,ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand4511-0
MIBDIM,Pt,ligand3-0 ligand3-0 ligand3-0 ligand141-0 ligand141-0 ligand6357-0
FUJQOQ,Ni,ligand1-0 ligand1-0 ligand135-0 ligand135-0
JENBOW,Cu,ligand6179-0
JUZMIC,Re,ligand3-0 ligand4-0 ligand4-0 ligand4-0 ligand6570-0
QOPBOM,Ti,ligand338-0 ligand1870-0
NADFED,Pd,ligand8973-0
JURGAG,Pd,ligand3-0 ligand3-0 ligand8316-0
GIFPEQ,Mn,ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand51-0 ligand798-0
ONIYEQ,Ir,ligand89-0 ligand89-0 ligand250-0 ligand25792-0
YIVYIM,Zr,ligand45-0 ligand45-0 ligand5112-0 ligand19053-0
KINWOV,Au,ligand1-0 ligand1-0 ligand5499-0
OVANOP,Zn,ligand4002-0 ligand8653-0
IGOGUH,Pt,ligand18-0 ligand18-0 ligand7833-0 ligand7833-0
DUGTEF,Pd,ligand40-0 ligand40-0 ligand1663-0 ligand1663-0
WANYIT,Pd,ligand18-0 ligand51-0 ligand9931-0
JITTIP,Fe,ligand4-0 ligand4-0 ligand4-0 ligand3829-0
XABBEI,Cr,ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand10828-0
LEKXAB,Ir,ligand18-0 ligand38-0 ligand48-0 ligand3467-0
IDAJON,La,ligand34-0 ligand115-0 ligand25958-0 ligand25958-0 ligand25958-0
HEDLUX,Pd,ligand1-0 ligand16614-0
GOZYAX,Fe,ligand4-0 ligand45-0 ligand51-0 ligand27126-0
CPYQAU,Au,ligand1-0 ligand1-0 ligand1-0 ligand11404-0
HOZQUJ,Mo,ligand17-0 ligand24-0 ligand24-0 ligand2828-0
CIVZAJ,Ru,ligand38-0 ligand409-0 ligand20388-0
LUKDEA,Ta,ligand415-0 ligand416-0 ligand416-0 ligand416-0 ligand7611-0
ERORIO,Pt,ligand1-0 ligand15432-0
HENLIW,Cd,ligand40-0 ligand241-0
POLGUU,Zn,ligand115-0 ligand25092-0 ligand25092-0
YEHZIV,Ru,ligand4-0 ligand38-0 ligand40-0 ligand15152-0
BACWUZ,Re,ligand4-0 ligand4-0 ligand4-0 ligand19774-0
IKONEB,Pd,ligand1-0 ligand1-0 ligand24192-0
LADDUS,Ni,ligand1-0 ligand45-0 ligand26933-0
FUMXER,Pd,ligand2117-0 ligand2118-0
UTOWEH,Ir,ligand1-0 ligand89-0 ligand18300-0
BAFCIW,Rh,ligand1-0 ligand1-0 ligand1-0 ligand2817-0 ligand2817-0 ligand2817-0
PIJFET,Pd,ligand1-0 ligand51-0 ligand51-0 ligand353-0
MIMBUH,Cu,ligand23647-0
JINWOV,Rh,ligand48-0 ligand89-0 ligand2772-0
JERRON,W,ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand8992-0
SEKNEC,Pt,ligand1-0 ligand31137-0
HIDLOX,Pt,ligand1-0 ligand133-0 ligand10432-0
MAZWIT,Fe,ligand1-0 ligand1-0 ligand22766-0
OYOCOV,Fe,ligand1-0 ligand1-0 ligand26023-0
CCPYPT,Pt,ligand1-0 ligand1-0 ligand188-0 ligand188-0
REQCOI,Cu,ligand3660-0
WURDUK,Ru,ligand1-0 ligand1-0 ligand4-0 ligand4-0 ligand2217-0
OXECIE,Pd,ligand1-0 ligand12840-0
CIRHAP,Zn,ligand1-0 ligand1-0 ligand22955-0
SUQXOS,Ni,ligand15342-0
ADEYOX,Ta,ligand18-0 ligand18-0 ligand18-0 ligand48-0 ligand706-0
MARDOY,Ti,ligand122-0 ligand188-0 ligand28489-0
ZEJGUT,Fe,ligand4-0 ligand4-0 ligand4-0 ligand24448-0
FIFPEQ,Ti,ligand1-0 ligand416-0 ligand416-0 ligand11833-0
MUSQEX,Mo,ligand4-0 ligand4-0 ligand4-0 ligand18-0 ligand45-0
ZOTZUF,Co,ligand6137-0 ligand14440-0
VIVZOQ,Pt,ligand821-0 ligand975-0
JEKJAN,Cu,ligand1-0 ligand20940-0
FERSUQ,Pt,ligand1-0 ligand1-0 ligand1898-0 ligand1898-0
SIHYOY,Pd,ligand1-0 ligand1-0 ligand8232-0
ROZYAH,Co,ligand278-0 ligand18219-0
GEQSIE,Au,ligand51-0 ligand1858-0
YEGGOJ,Zn,ligand7920-0 ligand7920-0 ligand22248-0
YASPOY,Zn,ligand1-0 ligand1-0 ligand3757-0
XETCOQ,Pt,ligand10502-0 ligand10503-0
YONYUX,Zn,ligand3-0 ligand3-0 ligand8578-0 ligand8578-0
ZEFXUG,Ru,ligand1-0 ligand895-0 ligand12454-0
JUKXEU,Zn,ligand1-0 ligand1-0 ligand31866-0
GAKJEH,Fe,ligand4-0 ligand45-0 ligand51-0 ligand674-0
MUYDOB,Au,ligand18-0 ligand907-0
HINNEX,Rh,ligand3085-0 ligand10593-0
NUDNIK,W,ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand24644-0
RINCAS,Cu,ligand14761-0
HUJYUH,Pd,ligand1-0 ligand1-0 ligand31475-0 ligand31475-0
YOBHUS,Co,ligand21-0 ligand21-0 ligand4698-0
FAXYEI,Co,ligand4-0 ligand4-0 ligand4-0 ligand6404-0
RIZKUI,Pd,ligand3-0 ligand25228-0
IYOXID,Cu,ligand51-0 ligand51-0 ligand19994-0
ZOLMAO,Cd,ligand17-0 ligand66-0
COTPRH,Rh,ligand4-0 ligand51-0 ligand51-0 ligand9969-0
QELGIX,Ru,ligand4-0 ligand45-0 ligand250-0 ligand13765-0
RUVTUY,Ru,ligand1-0 ligand48-0 ligand7037-0
MIMLUP,Pd,ligand51-0 ligand24472-0
XACQOK,Au,ligand2545-0 ligand2545-0
DABDAL,Rh,ligand1-0 ligand4-0 ligand1376-0 ligand1376-0
PEZWUN,Pd,ligand1-0 ligand1-0 ligand17346-0
DOKROM,Ni,ligand26278-0
CYPYZN,Zn,ligand1-0 ligand1-0 ligand2817-0 ligand2817-0
GIRMEA,Zn,ligand199-0 ligand199-0 ligand8174-0
WUHREX,Zr,ligand1-0 ligand1-0 ligand17119-0 ligand17119-0
EJEMAJ,Pt,ligand18-0 ligand38-0 ligand12680-0
RATXOZ,Hf,ligand1-0 ligand1-0 ligand48-0 ligand7969-0
HINRUS,Ir,ligand1-0 ligand370-1 ligand7833-0 ligand7833-0
BACYUB,V,ligand24-0 ligand633-0 ligand9304-0
NUZXIQ,Ru,ligand1-0 ligand13-0 ligand4577-0
IXASAD,Mo,ligand24-0 ligand24-0 ligand78-0 ligand26044-0
DOMSUU,Ru,ligand1-0 ligand49-0 ligand28890-0
MOTCRH,Rh,ligand108-0 ligand108-0 ligand108-0
VAJKEZ,Hg,ligand115-0 ligand8071-0 ligand8071-0
DAJPAG,Pd,ligand1-0 ligand1-0 ligand3134-0
CASXUP,Rh,ligand1-0 ligand48-0 ligand31692-0
SAKTAC,Ni,ligand9176-0 ligand9177-0
FILBIM,Mo,ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand9284-0
IMUCIE,Fe,ligand48-0 ligand89-0 ligand830-0
KETXIS,V,ligand24-0 ligand24-0 ligand2904-0 ligand3059-0
WIXMAR,Cr,ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand13573-0
QODHOG,Ta,ligand1-0 ligand1-0 ligand338-0 ligand2418-0
LEHJOZ,Ir,ligand11-0 ligand6600-0 ligand6600-0
DOBGUW,Mo,ligand24-0 ligand1025-0 ligand11618-0 ligand11618-0
UGUBUT,Au,ligand51-0 ligand5439-0
VIPWOJ,Co,ligand188-0 ligand259-0 ligand291-0
TIGXIQ,Zr,ligand48-0 ligand1771-0 ligand2384-0
ZIBTEM,Pd,ligand1-0 ligand51-0 ligand8495-0
RUNJEQ,Ni,ligand196-0 ligand4489-0
BAVRAR,Mo,ligand45-0 ligand134-0 ligand4340-0
OXAQEK,Ir,ligand1-0 ligand1-0 ligand1-0 ligand1-0 ligand4-0 ligand361-0
XEGPOP,Pd,ligand105-0 ligand105-0 ligand2073-0
VEGDIV,Pd,ligand170-0 ligand10175-0
KEFMUE,Zn,ligand353-0 ligand8788-0
YEWHAK,Zr,ligand45-0 ligand45-0 ligand27615-0
OGOGEW,Cr,ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand4-0 ligand20251-0
XUHVEB,Pd,ligand1-0 ligand51-0 ligand27981-0
DIGMIS,Pd,ligand73-0 ligand20442-0
CUGHER,Ni,ligand13486-0
HOXYUQ,Zn,ligand34-0 ligand115-0 ligand31526-0
YOPCAJ,Ru,ligand48-0 ligand16545-0
COHBIN,Ni,ligand51-0 ligand24896-0
NEJLEU,Rh,ligand193-0 ligand1892-0
